,year,count_turistas,year,count_ataques,porcentaje
0,1995,244795350.0,1995.0,64,2.6144287462976727e-05
1,1996,258435067.0,1996.0,49,1.896027523230816e-05
2,1997,270880055.0,1997.0,51,1.8827521280590407e-05
3,1998,279808107.5,1998.0,59,2.1085879364664228e-05
4,1999,294018094.5,1999.0,60,2.0406907303455095e-05
5,2000,320405957.0,2000.0,86,2.6840949152515285e-05
6,2001,319369949.0,2001.0,75,2.3483737350629693e-05
7,2002,328511926.5,2002.0,83,2.5265444967033793e-05
8,2003,323652399.0,2003.0,86,2.657171714645625e-05
9,2004,355388696.5,2004.0,86,2.4198856307744162e-05
10,2005,377587329.5,2005.0,94,2.4894903153788165e-05
11,2006,399670588.0,2006.0,93,2.3269162853684897e-05
12,2007,425345042.0,2007.0,104,2.4450737573191225e-05
13,2008,434836389.5,2008.0,109,2.5066899328580688e-05
14,2009,417101789.5,2009.0,112,2.6851958639223244e-05
15,2010,444862003.0,2010.0,96,2.1579725702039783e-05
16,2011,464680495.0,2011.0,120,2.5824195612083953e-05
17,2012,486219766.5,2012.0,108,2.2212177998732185e-05
18,2013,509261938.5,2013.0,107,2.1010798551951866e-05
19,2014,538039305.0,2014.0,115,2.1373903157502592e-05
20,2015,554020253.0,2015.0,132,2.382584378192398e-05
21,2016,577554024.0,2016.0,118,2.0430989153665734e-05
22,2017,614870154.0,2017.0,124,2.01668594894915e-05
23,2018,644725347.5,2018.0,115,1.7837052699405463e-05
24,2019,646366985.5,2019.0,107,1.6554063310834122e-05
25,2020,168267406.5,2020.0,92,5.467487846495097e-05
26,2021,186977217.5,2021.0,94,5.0273504578171405e-05
27,2022,321839297.5,2022.0,79,2.4546412017941966e-05
