,country,totales_ataques,totales_turistas
0,ANGOLA,1,6491014.0
1,ANTIGUA,1,6641511.0
2,ARGENTINA,2,124432015.0
3,AUSTRALIA,1185,143701917.0
4,AZORES,4,29630018.0
5,BAHAMAS,122,40853431.0
6,BANGLADESH,1,5555021.0
7,BARBADOS,1,14442920.0
8,BELIZE,4,7288735.0
9,BRAZIL,118,132935030.0
10,CANADA,7,476270236.0
11,CAPE VERDE,3,8787044.0
12,CHILE,8,75449139.0
13,CHINA,6,1145751008.0
14,COLOMBIA,2,53694041.0
15,COMOROS,1,622786.0
16,COSTA RICA,16,50771542.0
17,CUBA,26,64006943.0
18,ECUADOR,11,26846743.0
19,EGYPT,37,220772353.0
20,EL SALVADOR,4,30036452.0
21,FIJI,55,14823257.0
22,FRANCE,5,2031578003.0
23,GABON,1,2609374.0
24,GREECE,14,472834864.0
25,GRENADA,4,3554259.0
26,GUATEMALA,1,31390265.0
27,HONDURAS,2,18251069.0
28,HONG KONG,25,430625068.0
29,INDIA,11,179871076.0
30,INDONESIA,13,186081773.0
31,IRAN,25,66179078.0
32,IRAQ,7,7564077.0
33,IRELAND,1,191464074.0
34,ISRAEL,8,64596575.0
35,ITALY,55,1197400204.0
36,JAMAICA,16,47645280.0
37,JAPAN,32,266119056.0
38,JORDAN,1,82307681.0
39,KENYA,8,29443730.0
40,KIRIBATI,2,127155.0
41,MADAGASCAR,6,5387205.0
42,MALAYSIA,5,469892115.0
43,MALDIVES,4,23112112.0
44,MALTA,3,40259710.0
45,MAURITIUS,8,23188911.0
46,MEXICO,80,720376714.0
47,MONACO,1,8067502.0
48,MONTENEGRO,2,24029104.0
49,MOZAMBIQUE,40,26566116.0
50,NAMIBIA,1,24387517.0
51,NEW ZEALAND,101,57823124.0
52,NICARAGUA,4,22911420.0
53,NIGERIA,1,32849119.0
54,PANAMA,22,29573126.0
55,PAPUA NEW GUINEA,131,2815928.0
56,PHILIPPINES,44,93889129.0
57,PORTUGAL,4,294718005.0
58,RUSSIA,4,561995059.0
59,SAMOA,6,2820673.0
60,SAN CRISTOBAL Y NIEVES,1,2714087.0
61,SENEGAL,11,16595749.0
62,SEYCHELLES,8,5363041.0
63,SIERRA LEONE,3,985747.0
64,SINGAPORE,4,226485144.0
65,SOUTH AFRICA,546,204108675.0
66,SPAIN,28,1708708027.0
67,SRI LANKA,8,23527495.0
68,SUDAN,2,8366142.0
69,TAIWAN,9,107107158.0
70,TANZANIA,8,26467201.0
71,THAILAND,13,451227156.0
72,THE BALKANS,1,11152019.0
73,TONGA,16,1111261.0
74,TRINIDAD & TOBAGO,3,10280962.0
75,UNITED ARAB EMIRATES,2,232229222.0
76,URUGUAY,1,57605168.0
77,USA,2268,1551512258.0
78,VANUATU,11,2017272.0
79,VENEZUELA,9,15093171.0
80,YEMEN,2,10535374.0
